"","SeqId","Target","ExternalCalibratorReference0x2ESL14381_8d0x2Exlsx","medianQCreplicate","madNQCreplicate","mLLOD","mULOD","RRCIratio","mLLOQ","mULOQ","n","L95ref_L90CI","L95ref_U90CI","L95ref","U95ref","U95ref_L90CI","U95ref_U90CI","ColNum"
"None.2052.1.3","2052-1_3","None",114.498553469019,2.03,0.02,NA,NA,5.1608,NA,NA,168,2.039,2.062,2.056,2.365,2.32,2.395,1
"None.2053.2.3","2053-2_3","None",477.749234659094,2.22,0.03,NA,NA,4.3136,NA,NA,168,1.873,1.896,1.886,2.232,2.208,2.303,2
"None.2054.3.2","2054-3_2","None",47.0002318179801,1.66,0.04,NA,NA,4.1696,NA,NA,168,1.565,1.589,1.579,1.979,1.93,2.043,3
"None.2055.4.3","2055-4_3","None",83.2530206749243,1.89,0.02,NA,NA,7.4179,NA,NA,168,1.867,1.906,1.896,2.272,2.244,2.296,4
"None.2056.5.2","2056-5_2","None",156.098956545506,2.16,0.02,NA,NA,3.8379,NA,NA,168,2.258,2.273,2.263,2.549,2.512,2.611,5
"None.2057.6.2","2057-6_2","None",132.70888490465,1.98,0.02,NA,NA,8.9161,NA,NA,168,1.969,1.994,1.982,2.477,2.449,2.507,6
"None.2058.7.2","2058-7_2","None",144.045601024638,2.16,0.03,NA,NA,7.071,NA,NA,168,2.051,2.081,2.07,2.649,2.61,2.693,7
"None.2060.9.3","2060-9_3","None",413.047501990161,2.41,0.02,NA,NA,4.6586,NA,NA,168,2.311,2.359,2.339,2.823,2.766,2.876,8
"None.2061.10.3","2061-10_3","None",140.799139303926,2.07,0.02,NA,NA,5.0098,NA,NA,168,2.166,2.254,2.238,2.72,2.696,2.781,9
"Myeloperoxidase.2171.12.5","2171-12_5","Myeloperoxidase",84236.4391438403,4.93,0.01,4.953,4.894,8.5047,NA,NA,168,4.884,4.894,4.887,4.954,4.951,4.957,10
"BLC.2178.55.5","2178-55_5","BLC",8367.5824428145,3.92,0.01,3.944,3.913,5.4589,NA,NA,168,3.904,3.912,3.908,3.947,3.944,3.951,11
"C1q.2179.10.5","2179-10_5","C1q",60.1450651977548,1.78,0.02,1.816,NA,0.072668,NA,NA,13,1.816,1.816,1.816,1.816,1.816,1.828,12
"C4b.2182.54.1","2182-54_1","C4b",343.716198617535,2.36,0.17,2.783,NA,1.6562,NA,NA,15,2.783,2.783,2.783,2.927,2.833,2.987,13
"Coagulation.Factor.XI.2190.55.1","2190-55_1","Coagulation Factor XI",2616.37505598582,3.43,0.02,NA,NA,4.5992,NA,NA,168,3.166,3.273,3.252,3.551,3.529,3.573,14
"CTACK.2192.63.10","2192-63_10","CTACK",926.189813096003,2.98,0.02,NA,NA,8.2802,NA,NA,168,2.95,2.991,2.974,3.246,3.237,3.264,15
"Factor.B.2194.91.5","2194-91_5","Factor B",11368.4171209331,4.06,0.01,4.065,4.034,8.3781,NA,NA,168,4.023,4.031,4.026,4.07,4.069,4.072,16
"IgE.2200.77.5","2200-77_5","IgE",3026.21653576335,3.48,0.02,3.524,3.438,7.5235,NA,NA,168,3.455,3.46,3.458,3.506,3.503,3.51,17
"Endostatin.2201.17.6","2201-17_6","Endostatin",49727.88632334,4.75,0.03,NA,NA,8.1456,NA,NA,168,4.464,4.555,4.512,4.948,4.932,4.966,18
"TIMP.1.2211.9.6","2211-9_6","TIMP-1",302.343057051134,2.41,0.03,NA,NA,3.1614,NA,NA,168,2.389,2.457,2.423,2.75,2.715,2.823,19
"tPA.2212.69.1","2212-69_1","tPA",626.75816445921,2.76,0.03,NA,NA,3.2558,NA,NA,168,2.526,2.617,2.587,3.135,3.084,3.239,20
"VEGF.2214.86.5","2214-86_5","VEGF",148183.551751643,5.17,0.02,5.204,5.136,7.9153,NA,NA,168,5.124,5.134,5.131,5.208,5.204,5.213,21
"IGFBP.3.2227.58.4","2227-58_4","IGFBP-3",86.3574878170381,1.93,0.02,1.988,1.902,4.4471,NA,NA,168,1.885,1.904,1.9,1.999,1.99,2.015,22
"IP.10.2229.54.5","2229-54_5","IP-10",884.504404755262,2.95,0.01,2.975,2.924,4.5206,NA,NA,168,2.913,2.926,2.922,2.975,2.971,2.982,23
"PDGF.BB.2231.54.5","2231-54_5","PDGF-BB",519.756584658362,2.72,0.03,NA,2.663,0.70905,NA,NA,6,2.642,2.663,2.656,2.663,2.663,2.663,24
"C9.2244.58.4","2244-58_4","C9",277.715423588466,2.44,0.01,2.467,2.412,3.5539,NA,NA,168,2.407,2.421,2.417,2.462,2.456,2.468,25
"EG.VEGF.2247.20.11","2247-20_11","EG-VEGF",299.709148630705,2.44,0.02,NA,NA,7.3695,NA,NA,168,2.471,2.481,2.474,2.659,2.653,2.686,26
"FGF.10.2249.25.4","2249-25_4","FGF-10",81.6018491019736,1.91,0.01,1.939,NA,1.7893,NA,NA,25,1.939,1.939,1.939,1.966,1.951,1.98,27
"IL.17B.2258.65.4","2258-65_4","IL-17B",35123.6790465681,4.55,0.02,4.591,4.507,5.7183,NA,NA,168,4.521,4.529,4.525,4.566,4.563,4.57,28
"Plasminogen.2271.24.4","2271-24_4","Plasminogen",75544.0040567618,4.88,0.02,4.913,4.849,9.5682,NA,NA,168,4.844,4.852,4.85,4.915,4.913,4.918,29
"Neurotrophin.3.2273.34.4","2273-34_4","Neurotrophin-3",171.237942124493,2.23,0.01,2.266,2.211,4.4883,NA,NA,168,2.203,2.221,2.213,2.265,2.262,2.268,30
"TIMP.2.2278.61.4","2278-61_4","TIMP-2",214535.911581571,5.34,0.04,NA,NA,5.5388,NA,NA,168,4.983,5.099,5.07,5.524,5.501,5.563,31
"BDNF.2287.61.4","2287-61_4","BDNF",21.448651854918,1.33,0.03,1.388,NA,4.9795e-14,NA,NA,17,1.388,1.388,1.388,1.388,1.388,1.39,32
"CNTF.2288.7.4","2288-7_4","CNTF",18.0509473713157,1.26,0.03,1.312,NA,0.75949,NA,NA,21,1.312,1.312,1.312,1.33,1.313,1.36,33
"C9.2292.17.4","2292-17_4","C9",21572.4762733788,4.22,0.03,NA,NA,6.2135,NA,NA,168,4.147,4.258,4.198,4.618,4.604,4.647,34
"Eotaxin.2.2298.10.5","2298-10_5","Eotaxin-2",1563.14764264095,3.19,0.02,3.222,3.146,7.129,NA,NA,168,3.158,3.166,3.161,3.213,3.21,3.216,35
"HCC.4.2305.52.4","2305-52_4","HCC-4",779.291608980248,2.89,0.02,NA,2.858,0.61891,NA,NA,8,2.814,2.857,2.845,2.858,2.858,2.858,36
"IL.7.2312.13.4","2312-13_4","IL-7",44.7507172047656,1.65,0.02,1.682,NA,1.5403,NA,NA,18,1.682,1.682,1.682,1.705,1.693,1.722,37
"SDF.1.2330.2.1","2330-2_1","SDF-1",2259.95608443437,3.31,0.03,NA,NA,3.6039,NA,NA,168,3.279,3.316,3.299,3.626,3.601,3.705,38
"TARC.2332.10.4","2332-10_4","TARC",17823.7876744809,4.25,0.02,4.278,4.215,4.4002,NA,NA,168,4.222,4.23,4.226,4.265,4.263,4.272,39
"TGF.b1.2333.72.1","2333-72_1","TGF-b1",816.394367964565,2.82,0.04,NA,NA,3.4433,NA,NA,168,2.988,3.032,3.007,3.479,3.44,3.581,40
"VEGF.sR3.2358.19.2","2358-19_2","VEGF sR3",7652.44117814236,3.91,0.02,NA,NA,10.309,NA,NA,168,3.621,3.669,3.656,4.115,4.096,4.135,41
"IL.18.Ra.2359.65.4","2359-65_4","IL-18 Ra",11.1995352238489,1.06,0.05,1.151,NA,1.3204,NA,NA,20,1.151,1.151,1.151,1.16,1.153,1.166,42
"C5.2381.52.4","2381-52_4","C5",7164.73282391109,3.82,0.02,NA,NA,6.2975,NA,NA,168,3.78,3.804,3.791,4.028,4.004,4.048,43
"BDNF.2421.7.3","2421-7_3","BDNF",606.8760518768,2.58,0.03,NA,NA,11.3233,NA,NA,168,2.602,2.647,2.627,3.249,3.229,3.276,44
